"abstract",306
"accessrestrict",16
"acqinfo",72
"address",481
"addressline",481
"altformavail",5
"appraisal",40
"archdesc",96978
"arrangement",3665
"author",1
"bibliography",32
"bioghist",1184
"blockquote",49
"c",219077
"chronitem",30
"chronlist",30
"custodhist",5
"dao",2833
"daodesc",2833
"date",4
"defitem",14
"did",50316
"dsc",86135
"ead",99120
"eadheader",2142
"emph",61
"event",30
"eventgrp",30
"extent",7
"filedesc",2120
"head",2
"item",71
"langusage",22
"list",71
"odd",8998
"p",49495
"physdesc",7
"phystech",3023
"prefercite",2616
"processinfo",133
"profiledesc",22
"relatedmaterial",391
"scopecontent",25042
"separatedmaterial",310
"titleproper",2119
"titlestmt",2120
"unittitle",47170
"userestrict",1130
