SOURCE TYPE,SOURCE,PROCESSING,SOLR FIELDS
Solrizer - non-xpath,"`true` if there are <c> child nodes, otherwise `false`",,component_children_bsi
Solrizer - non-xpath,The number of ancestor <c> elements plus 1,,component_level_isim
Solrizer - non-xpath,"Hardcoded ""Online Access"" if //dao is not empty",,dao_sim
Solrizer - non-xpath,"For each [UNITDATE_NORMAL] date that falls within `start_date` and `end_date` ranges found in v1 indexer `DATE_RANGES` here: https://github.com/NYULibraries/ead_indexer/blob/f1bc142dfe1507dbd173bfa126168fa52bba9871/lib/ead_indexer/behaviors/dates.rb#L4-L15, add to array.  If there are no in-range values, then value is an array with a single string ""undated & other"".",,date_range_sim
Solrizer - non-xpath,"If `level` matches /\Aseries|subseries/) then use ""Archival Series"", else ""Archival Object""",,"format_sim,format_ssm"
Solrizer - non-xpath,"Parent <c> `id` attribute if it is defined, omit this Solr field if it is not defined.",,parent_ssi
Solrizer - non-xpath,`id` attributes of all ancestor <c> elements ordered from earliest ancestor to immediate parent.,,parent_ssm
Solrizer - non-xpath,Derived from name of parent directory of EAD file,,"repository_ssm,repository_sim,repository_ssi"
Solrizer - non-xpath,"If `unitdate` is not empty, use `unitdate` values joined in a comma-delimited list, else if `unitdate` is empty: ""Inclusive,"" plus `unitdate_inclusive` if both either `unitdate_inclusive` or `unitdate_bulk` are non-empty, plus "";"" and `unitdate_bulk` if non-empty.  NOTE: This is likely a bug in v1 indexer -- see https://jira.nyu.edu/browse/DLFA-211?focusedCommentId=8378822&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-8378822.",,unitdate_ssm
Solrizer - xpath query,address/p,,address_teim
Solrizer - xpath query,appraisal/p,,appraisal_teim
Solrizer - xpath query,bioghist/p,,bioghist_teim
Solrizer - xpath query,chronlist/chronitem//text(),Remove all empty string and `nil` elements from the array,chronlist_teim
Solrizer - xpath query,//archdesc/did/unittitle,,"collection_sim,collection_ssm,collection_teim"
Solrizer - xpath query,//archdesc/did/unitid,,"collection_unitid_ssm,collection_unitid_teim"
Solrizer - xpath query,corpname,,"corpname_teim,corpname_ssm"
Solrizer - xpath query,archdesc[@level='collection']/did/origination[@label='creator']/*[name() = 'corpname' or name() = 'famname' or name() = 'persname'],,"creator_teim,creator_ssm"
Solrizer - xpath query,"dao/daodesc/p""",,"dao_teim,dao_ssm"
Solrizer - xpath query,//eadid,,ead_ssi
Solrizer - xpath query,famname,,"famname_teim,famname_ssm"
Solrizer - xpath query,function,,"function_teim,function_ssm"
Solrizer - xpath query,genreform,,"genreform_teim,genreform_ssm"
Solrizer - xpath query,geogname,,"geogname_teim,geogname_ssm"
Solrizer - xpath query,archdesc[@level='collection']/did/unittitle,,heading_ssm
Solrizer - xpath query,did/langmaterial/language/@langcode,Translate the first language code into a language name,"language_sim,language_ssm"
Solrizer - xpath query,/c/@level,,level_sim
Solrizer - xpath query,//genreform,"For each element, replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"", remove `nil` values, and remove duplicates.","material_type_sim,material_type_ssm"
Solrizer - xpath query,name,,"name_teim,name_ssm"
Solrizer - xpath query,note,,"note_teim,note_ssm"
Solrizer - xpath query,occupation,,"occupation_teim,occupation_ssm"
Solrizer - xpath query,persname,,"persname_teim,persname_ssm"
Solrizer - xpath query,phystech/p,,phystech_teim
Solrizer - xpath query,//geogname,"For each element, replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"", remove `nil` values, and remove duplicates.","place_ssm,place_sim"
Solrizer - xpath query,/c/@id,"First element only, and only if it exists.  Note that there is a ""ref_"" in Terminology but it does produce a Solr field because it has no :index_as and in any case would be overwritten by the `Solrizer.insert_field` call in `SolrEad::Component.to_solr()`",ref_ssi
Solrizer - xpath query,scopecontent/p,,scopecontent_teim
Solrizer - xpath query,subject,,"subject_teim,subject_ssm"
Solrizer - xpath query,//*[local-name()='subject' or local-name()='function' or local-name() = 'occupation'],"Take the node sets, flatten them into an array, and remove `nil` values and duplicates.  For  each element replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"".","subject_sim,subject_teim"
Solrizer - xpath query,title,,"title_teim,title_ssm"
Solrizer - xpath query,did/unitdate[not(@type)],,unitdate_teim
Solrizer - xpath query,archdesc[@level='collection']/did/unitdate[@type='bulk'],,unitdate_bulk_teim
Solrizer - xpath query,did/unitdate/@normal,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.","unitdate_end_sim,unitdate_end_ssm,unitdate_end_si,unitdate_normal_ssm,unitdate_normal_teim,unitdate_normal_sim,unitdate_start_sim,unitdate_start_ssm,unitdate_start_si"
Solrizer - xpath query,archdesc[@level='collection']/did/unitdate[@type='inclusive'],,unitdate_inclusive_teim
Solrizer - xpath query,did/unitid,,"unitid_teim,unitid_ssm"
Solrizer - xpath query,did/unittitle,"For `unittitle_teim`, no special instructions.  For `unittitle_ssm`: sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.","unittitle_ssm,unittitle_teim"
Solrizer - composite,"creator: //origination[@label='creator']/corpname, //origination[@label='creator']/famname, //origination[@label='creator']/persname","Get elements for each xpath query in the order listed. Flatten returned node sets into one array, and remove `nil` values.","creator_ssm,creator_sim"
Solrizer - composite,id: //eadid,"Append the `id` attribute of the <c> to the <eadid> value.  Example: ""photos_223aspace_ref1""",id
Solrizer - composite,"location: //container/@id, //container[@id = '#{id}']/@type, //container[@id = '#{id}'], //container[@parent = '#{id}']","For each element returned by `//container/@id`, construct a string: ""[CONTAINER TYPE ATTRIBUTE]: [CONTAINER ID ATTRIBUTE], [SUB-CONTAINER INFO]"", where [CONTAINER TYPE ATTRIBUTE] is `//container[@id = '#{id}']/@type`,  [CONTAINER ID ATTRIBUTE] is `//container[@id = '#{id}']`, and [SUB-CONTAINER INFO] is comma-delimited list of strings based on the elements returned by `//container[@parent = '#{id}']`, with each string constructed like this: ""[TYPE ATTRIBUTE OF THE (SUB-)<container>]: [TEXT OF THE (SUB-)<container>]""","location_ssm,location_si"
Solrizer - composite,"parent_unittitles: /c/did/unittitle, /c/did/unitdate","For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]""","parent_unittitles_ssm,parent_unittitles_teim"
Solrizer - composite,"seriesForFacet: /c/did/unittitle, /c/did/unitdate","For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]""",series_sim
Solrizer - composite,"seriesForSort: /c/did/unittitle, /c/did/unitdate, did/unittitle","For each ancestor <c>, starting from the earliest ancestor to the immediate parent, if extract the first <unititle> element and add to array. For <unittitle> value, sanitize  (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag.  If there are no <unittitle> elements, collect the first <unitdate> element instead, using the same processing instructions.  If there are no <unitdate> elements, set value to ""[No title available]"" These are the ""parent titles"".  Add a comma and a space to these parent titles, then add the `did/unittitle` value -- the processing for this value: sanitize (see https://jira.nyu.edu/browse/DLFA-209) and change all EAD tags in the <unittitle> text which have `render` attributes to the appropriate HTML tag using this table: https://github.com/awead/solr_ead/blob/v0.7.5/lib/solr_ead/formatting.rb#L5-L23 and remove the `render` attribute from the tag. If there are no parent titles, just use this processed `did/unittitle` value.",series_si
